http://cloc.sourceforge.net v 1.64  T=0.99 s (158.1 files/s, 32711.5 lines/s)
------------------------------------------------------------------------------------------------------
File                                                               blank        comment           code
./Core/Editor/GUIDrawers/SignBitBoolDrawer.cs                         49              8            193
./Core/DataTypes/BufferList.cs                                        70             11            189
./Core/DataTypes/SerialMethodInfo.cs                                  68             21            188
./Game3D/Utiltiies/CharacterMobility.cs                               79             19            187
./Core/DataTypes/MinMaxFloat.cs                                       59             10            186
./Core/DataTypes/SerialChoiceList.cs                                  60             10            185
./Core/DataTypes/SerialType.cs                                        65              8            178
./Core/Utilities/LayerMasks.cs                                        68              9            172
./Core/Utilities/Types.cs                                             60             13            167
./Core/Utilities/Assemblies.cs                                        51              8            165
./Core/DataTypes/ValidatedCollection.cs                               67              9            157
./Core/Utilities/Quaternions.cs                                       51             10            152
./Core/Editor/GUIDrawers/MinMaxFloatDrawer.cs                         50             10            151
./Game3D/ComponentTypes/RendererInterface.cs                          43             10            145
./Core/DataTypes/TriBool.cs                                           65             13            144
./Core/DataTypes/HashMapParams.cs                                     51             10            143
./Core/Editor/GUIDrawers/ViewAsEnumDrawer.cs                          50             14            143
./Core/Editor/Inspectors/SceneAssetInspector.cs                       42              9            137
./Game2D/ComponentTypes/SpriteRendererInterface.cs                    43              6            137
./Core/Editor/GUIDrawers/PathDrawer.cs                                39              8            136
./Core/Editor/GUIDrawers/PoseDrawer.cs                                50              8            136
./Core/BaseTypes/BaseSingleton.cs                                     34             11            131
./Core/Editor/GUIDrawers/PyroEventDrawer.cs                           55             19            124
./Game3D/ComponentTypes/PoseSnapshotAnimator.cs                       40              9            123
./Core/ComponentTypes/TransformTracker.cs                             38              8            123
./Core/Utilities/EnumSpy.cs                                           47             12            119
./Game2D/ComponentTypes/Trigger2D.cs                                  41             13            119
./Core/Editor/GUIDrawers/ReadOnlyDrawer.cs                            34              8            118
./Core/ComponentTypes/CanvasUI.cs                                     35             10            118
./Core/ComponentTypes/PerformanceSnitch.cs                            32              9            111
./Core/DataTypes/SerialFieldInfo.cs                                   46             13            110
./Game3D/ComponentTypes/Trigger3D.cs                                  35              8            109
./Core/BaseTypes/IHashSlot.cs                                         30              8            107
./Core/ComponentTypes/Spawnable.cs                                    39              9            106
./Core/BaseTypes/BaseComponent.cs                                     42              9            106
./Core/Editor/Inspectors/SceneRefInspector.cs                         28              9            104
./Core/DataTypes/SerialChoice.cs                                      41              9            102
./Core/EventTypes/InputSystemEvent.cs                                 34              9            101
./Core/Utilities/TSpy.cs                                              39              9            101
./Core/DataTypes/SerialValue.cs                                       34              9            100
./Core/Utilities/Components.cs                                        39             10             94
./Core/DataTypes/FillValue.cs                                         40              9             94
./Core/DataTypes/ObjectToObjectMap.cs                                 33              9             89
./Core/Editor/GUIDrawers/ViewAsBoolsDrawer.cs                         34             12             88
./Core/BaseTypes/IMap.cs                                              33             11             88
./Core/Attributes/SanityTestAttribute.cs                              37             10             87
./Core/Editor/GUIDrawers/RequiredReferenceDrawer.cs                   31              8             87
./Core/Editor/GUIDrawers/RequireInterfaceDrawer.cs                    28             16             84
./Core/Editor/Inspectors/ComponentInspector.cs                        33              9             81
./Core/Editor/GUIDrawers/Color32Drawer.cs                             29              9             80
./Core/ComponentTypes/UICanvas.cs                                     28              8             80
./Core/DataTypes/SerialFieldMap.cs                                    31             12             79
./Core/Editor/GUIDrawers/FillValueDrawer.cs                           34              8             78
./Core/DataTypes/EnumPair.cs                                          34             18             76
./Core/BaseTypes/IPair.cs                                             33             12             76
./Core/Editor/GUIDrawers/RequireFieldValueDrawer.cs                   28              8             75
./Core/Editor/GUIDrawers/TypeNameDrawer.cs                            22             10             74
./Core/ComponentTypes/UICamera.cs                                     24              8             74
./Core/ComponentTypes/SpawnableParticles.cs                           19             10             73
./Game3D/ComponentTypes/Button3D.cs                                   28             11             73
./Core/AssetTypes/DataLookupAsset.cs                                  30              9             72
./Game3D/ComponentTypes/PostProcessInterface.cs                       36             11             71
./Core/Utilities/Enumerables.cs                                       20              8             69
./Core/DataTypes/ObjectLookup.cs                                      30              9             68
./Core/Editor/PropertyDrawerState.cs                                  24              9             65
./Core/EventTypes/PyroEvent.cs                                        22              8             65
./Core/ComponentTypes/InputEventDispatcher.cs                         16              9             63
./Core/ComponentTypes/OnScenesChanged.cs                              22              9             63
./Game2D/DataTypes/HullEdge2D.cs                                      27             12             63
./Core/BaseTypes/ISceneAware.cs                                       18              8             60
./Core/ComponentTypes/Player.cs                                       21              9             55
./Core/Utilities/GameObjects.cs                                       25              9             54
./Core/EventTypes/DelayedEvent.cs                                     23              8             51
./Core/Utilities/EnumInfo.cs                                          22              8             51
./Core/ComponentTypes/TextMeshInterface.cs                            22              8             50
./Core/Editor/Labels.cs                                               21              8             50
./Core/Attributes/ScriptOrderAttribute.cs                             14             10             49
./Core/EventTypes/InputManagerEvent.cs                                20              9             45
./Core/DataTypes/TypedStringKey.cs                                    17              9             44
./Core/AssetTypes/StringLookupAsset.cs                                23              8             43
./Core/AssetTypes/ObjectLookupAsset.cs                                25              8             42
./Core/Attributes/LabelFieldAttribute.cs                              19              9             41
./Core/Editor/GUIDrawers/SceneDrawer.cs                               16              8             39
./Audio/Editor/FMODDiscovery.cs                                       19              9             37
./Core/Editor/GUIDrawers/EnumPairDrawer.cs                            19              8             35
./Core/BaseTypes/IComponent.cs                                        19             12             35
./Core/Editor/GUIDrawers/ButtonBoolDrawer.cs                          13              8             34
./Core/BaseTypes/BaseAsset.cs                                         18              9             34
./Core/DataTypes/BaseSerialKVP.cs                                     15              9             33
./Core/BaseTypes/BaseInterface.cs                                     15              8             29
./Core/Attributes/ViewAsEnumAttribute.cs                              14              9             29
./Core/Editor/GUIDrawers/TagDrawer.cs                                 14              9             27
./Core/Editor/PersistentDataWindow.cs                                 12             10             25
./Core/Attributes/ReadOnlyAttribute.cs                                14             11             24
./Core/BaseTypes/IDamageable.cs                                       11              9             24
./Core/ComponentTypes/OnEnableEvents.cs                               16              9             22
./Core/AssetTypes/SandboxingAsset.cs                                  15             12             22
./Core/Editor/GUIDrawers/LayerMaskDrawer.cs                           11              8             22
./Core/Attributes/FixedRefAttribute.cs                                12              8             22
./Core/Attributes/RequireInterfaceAttribute.cs                        12             10             22
./Core/DataTypes/StringLookup.cs                                      10              9             20
./Core/Attributes/ViewAsBoolsAttribute.cs                             12             10             19
./Core/Attributes/RequiredReferenceAttribute.cs                       14              9             19
./Core/Attributes/RequireFieldValueAttribute.cs                       11              9             16
./Core/Editor/Inspectors/AssetInspector.cs                            10              8             16
./Core/BaseTypes/IObject.cs                                            7              9             14
./Core/Attributes/SignBitBoolAttribute.cs                              8              9             14
./Core/Attributes/ButtonBoolAttribute.cs                              10              8             13
./Core/BaseTypes/ISpawnable.cs                                         9             10             13
./Core/BaseTypes/IChoice.cs                                            5              9             12
./Core/BaseTypes/IPyroEvent.cs                                         6              8             12
./Core/Utilities/RectTransforms.cs                                     8              8             11
./Core/BaseTypes/IObjectContext.cs                                     4              9             11
./Core/BaseTypes/ISingleton.cs                                         5              8             10
./Core/Utilities/Bounds3D.cs                                           6              8             10
./Core/EventTypes/StaticEvent.cs                                       9              8              8
./Core/BaseTypes/ICloneable.cs                                         5              8              8
./Core/Attributes/GameObjectTagAttribute.cs                            5              9              7
./Core/DataTypes/DamageResult.cs                                       8              9              7
./Core/Attributes/ToggleableAttribute.cs                               6             10              7
./Core/Attributes/TypeNameAttribute.cs                                 6              9              7
./AssemblyInfo.cs                                                      3              6              2
./Audio/Editor/FMODMenuTools.cs                                        2              8              0
------------------------------------------------------------------------------------------------------
SUM:                                                                7431           1867          23193
------------------------------------------------------------------------------------------------------
